id,lesson_id,term,meaning,pronunciation,word_class,example_sentence,vietnamese_term,vietnamese_meaning,english_headword_id,vietnamese_headword_id,is_common,created_at,updated_at
000d7903-68d4-4fbe-9198-b077e490439f,113a8d3e-ddda-4419-9a38-fde75df58c3e,Excited,Feeling enthusiasm,ɪkˈsaɪ.tɪd,adjective,I excited trip.,Phấn khích,Cảm giác hạnh,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
000f9e6b-19be-4d5f-84da-2b6249aaedd4,a6f9ef68-d647-4df6-9121-19ec9c0fee72,Good morning,Morning greeting,ˌɡʊd ˈmɔr.nɪŋ,phrase,Good morning today.,Chào sáng,Lời chào sáng,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
001e3042-a4cf-4cb2-ba90-d71280bfdb68,12c09afc-e4cd-4cc3-b911-1e5d9e07c387,Scared,Feeling fear,skɛrd,adjective,Child scared dark.,Sợ,Cảm giác sợ,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
00326b2a-553b-48af-9f2c-ea63b02973e2,967cb953-d9f0-413d-9444-c2de97d17102,Style,Distinctive manner,staɪl,noun,Author has unique style.,Phong cách,Cách biểu đạt,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0039e3d4-46b0-43b6-984c-0dd683122ee2,71802fc1-9c2b-49d9-93ca-0140d294e318,surgery,medical operation,/surgery/,danh từ,surgery example,surgery,Một khái niệm liên quan đến health,,,true,2026-03-18 23:27:06.141,2026-03-18 23:27:06.141
006a51b6-59a9-40cf-9e77-8eed29b9ce51,aa794f3a-f98a-43df-8271-67b923f0f383,Proud,Feeling pride,praʊd,adjective,I proud you.,Tự hào,Cảm giác hạnh,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
00f1ee2d-28c0-4225-8cea-10ae0ab69906,6099eea9-f4d6-4738-9662-d01b6f6f2a12,desk,furniture for sitting and writing,/desk/,danh từ,desk example,desk,Một khái niệm liên quan đến school,,,true,2026-03-18 23:27:06.141,2026-03-18 23:27:06.141
0113e23a-adce-4d32-93b2-374bf5bcc664,764cc2ce-f217-4c78-9799-04685ba95ab7,pants,a garment covering legs,pænts,danh từ,Blue pants look good,quần,quần áo che phủ chân,,,true,2026-03-18 23:26:07.668,2026-03-18 23:26:07.668
0115d48b-10cd-4fd7-b7b4-89509f20fdfb,f2546e9a-13dd-460f-97a6-4a9d4903e6be,Jealous,Feeling envy,ˈdʒɛl.əs,adjective,Jealous sister.,Ghen tị,Cảm giác ghen,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
01302179-50d9-43a5-99ef-79cf34115ceb,59baddf7-e856-4276-9fab-c2cbd73c8911,Proud,Feeling pride,praʊd,adjective,I proud you.,Tự hào,Cảm giác hạnh,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
